name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Khengar Bhal Ahir,Panama,Right hand Bat,,Right arm Medium,,
Qasim Akram,Pakistan,Right hand Bat,Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322162.png"
Tumursukh Turmunkh,Mongolia,Right hand Bat,,Right arm Medium,,
Saud Munir ,Denmark,Right hand Bat,,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/373900/373918.png"
Andrew Reyes,Gibraltar,Right hand Bat,,Right arm Medium,,
Jonathan Hill,Philippines,Right hand Bat,,Right arm Medium fast,,
Ameer Saiyed,Botswana,Left hand Bat,,Slow Left arm Orthodox,,
Ali Nayyer(c),Switzerland,,Bowler,,,
Sylvester Okpe,Nigeria,Right hand Bat,,Right arm Offbreak,,
Heinrich Klaasen ,South Africa,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322073.png"
Abdullah Shafique,Pakistan,Right hand Bat,Top order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/366300/366319.png"
Alexis Balla,Cameroon,Right hand Bat,,Right arm Medium fast,,
Girish Venkateswaran,Luxembourg,Right hand Bat,Opening Batter,Right arm Medium fast,,
Bipin Kumar,Qatar,Right hand Bat,,Right arm Medium,,
Abdul Hashmi ,Denmark,Right hand Bat,Wicketkeeper,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/366300/366303.png"
Declan Suzuki,Japan,Left hand Bat,Allrounder,Right arm Medium,,
Muhammad Jawadullah,United Arab Emirates,Left hand Bat,Bowler,Left arm Fast medium,,
George Ngegba,Sierra Leone,Right hand Bat,,Right arm Offbreak,,
Buyantushig Terbish,Mongolia,Right hand Bat,,Right arm Medium,,
George Sesay,Sierra Leone,Right hand Bat,,Right arm Medium,,
Siraje Nsubuga,Uganda,Right hand Bat,Allrounder,Right arm Offbreak,,
Ibrahim Ismail Ranguni Bhana,Panama,Left hand Bat,,,,
Jason Holder,West Indies,Right hand Bat,Bowling Allrounder,Right arm Medium fast,"Jason Holder was seen as a future talent until a selection panel headed by former World Cup-winner Clive Lloyd appointed him West Indies' ODI captain in 2014. Holder was only 23 at the time, and was still making his way as a fast bowler and a lower-middle order batsman. Less than a year later, he took over the Test team too, indicating how much the WICB and men in the know - ranging from Viv Richards to Brian Lara to Tony Cozier - believed in this man, who comes across as remarkably level-headed and mature for someone so young. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316673.png"
Gerald Coetzee,South Africa,Right hand Bat,Bowler,Right arm Fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348579.png"
Karan KC,Nepal,Right hand Bat,Allrounder,Right arm Fast,"Broad-shouldered, barrel-chested fast bowler Karan KC has been incisive for Nepal through their brief history as an international cricket team, in a variety of conditions both at home and away, and no other pace bowler has produced more five-wicket hauls in both List A and T20 cricket. His consistency as a wicket-taker has made Nepal far less reliant on their spinners to produce winning results.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330442.png"
Daniel Anefie,Ghana,Right hand Bat,Allrounder,Right arm Medium,,
Naseer Naail Ismail,Maldives,Right hand Bat,,Right arm Medium fast,,
Agustin Husain,Argentina,Right hand Bat,,Right arm Offbreak,,
Mahedi Hasan,,Right hand Bat,Allrounder,Right arm Offbreak,"By the time Mahedi Hasan earned his maiden ODI call-up in January 2021, he had already played 159 domestic matches for ten different teams in the first-class, List-A and T20 tournaments. He has now emerged as one of several contenders for the all-rounders' spots in Bangladesh's white-ball teams, having already played in three separate T20I series from 2018 to 2020. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380200/380237.png"
Murat Ipek,Turkey,Right hand Bat,,Right arm Medium,,
Abdul Majid,Bahrain,Left hand Bat,Bowler,Slow Left arm Orthodox,,
Davaasuren Jamyansuren,Mongolia,Right hand Bat,,Right arm Medium fast,,
Muhammad Amir,Malaysia,Left hand Bat,Batter,Slow Left arm Orthodox,,
Dharma Kesuma,Indonesia,Right hand Bat,,,,
Gerard Mwendwa,Kenya,Right hand Bat,Allrounder,Right arm Medium fast,,
Ahmad Faiz(c),Malaysia,Right hand Bat,Batter,Legbreak,"Ahmed Faiz, is a right hand batsman who was a unanimous choice to captain Malaysia at the Under-19 World Cup in 2008. Faiz, a student at the Bandar Penawar Sports School, led the Malaysia Under-19s in two series in 2007: against India, Sri Lanka and England, and in friendly matches Australia and Bangladesh. Faiz has played in Malaysia's senior side but he would like to be a sports science lecturer if he can't become a professional cricketer. Cricinfo staff February 2008
",
Varun Thamotharam,Malta,Left hand Bat,,Left arm Medium fast,,
Muhammad Afis,Indonesia,Right hand Bat,,Right arm Offbreak,,
Wintley Burton,Serbia,Right hand Bat,,Right arm Medium fast,,
"Amit	Nathwani",Austria,Right hand Bat,,Right arm Offbreak,,
Sharvin Muniandy,Malaysia,Right hand Bat,Bowler,Right arm Medium,,
Graham Hume,Ireland,Left hand Bat,Bowler,Right arm Fast medium,"Graham Hume is a left-hand batsman and right-arm medium pacer who compares his style to South African fast bowler Charl Langeveldt but whose hero is AB de Villiers. He was named in South Africa's squad for the Under-19 World Cup in New Zealand in January 2010 and he was his team's leading wicket-taker with 13 wickets. Cricinfo staff January 2010
",
Sheldon Cottrell,West Indies,Right hand Bat,Bowler,Left arm Fast medium,"Once a soldier in the Jamaican Defence Force, left-armer Sheldon Cottrell has been a semi-regular presence in the West Indies white-ball sides since he made his debut in 2013, and is known as much for his elaborate army-salute wicket celebration as for his bowling performances. He also offers athleticism in the field and powerful hitting in the lower order. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316693.png"
Irfan Hafejee(c),Panama,Right hand Bat,,Right arm Medium,,
Joseph Theodore ,Ghana,Right hand Bat,Wicketkeeper Batter,,,
Luka Stubbs,Croatia,Right hand Bat,,Right arm Medium,,
Amit Dhingra,Luxembourg,Right hand Bat,,Right arm Medium fast,,
Adwitya Bhargava,Singapore,Right hand Bat,,Right arm Medium,,
Peter Nedeljkovic,Serbia,Right hand Bat,,,,
Julian Freyone,Gibraltar,Right hand Bat,,Right arm Medium,,
Qasim Akram(c),Pakistan,Right hand Bat,Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322162.png"
Mohammed Faraazuddin,United Arab Emirates,Right hand Bat,Allrounder,Right arm Offbreak,,
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Bowler,Left arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/345000/345077.png"
Khalander Mustafa,Saudi Arabia,Right hand Bat,,Left arm Medium,,
Khalid Shah ,United Arab Emirates,Left hand Bat,Opening Batter,,,
Ibrahim Kamara,Sierra Leone,Right hand Bat,,Right arm Medium,,
Sabawoon Davizi,Czech Republic,Left hand Bat,,Right arm Medium,,
Hernan Fennell,Argentina,Right hand Bat,,Right arm Medium,,
Tomas Rossi,Argentina,Right hand Bat,,Right arm Medium fast,,
Syazrul Idrus,Malaysia,Right hand Bat,Bowler,Right arm Medium,,
Zeeshan Kukikhel,Hungary,Right hand Bat,,Right arm Fast,,
Abdur Rahman Sudais,Sweden,,,,,
Martin DaleBradley,Guernsey,Right hand Bat,,Right arm Offbreak,,
Kabir Mirpuri,Gibraltar,Right hand Bat,,Right arm Offbreak,,
Jonas Henriksen,Denmark,Right hand Bat,,Right arm Medium,,
Muhammad Butt,Norway,Right hand Bat,,Legbreak,,
Mousom Dhakal,Nepal,Right hand Bat,,Right arm Offbreak,,
Gulam Murtaza,Cambodia,Right hand Bat,,Right arm Medium,,
Qais Ahmad,Afghanistan,Right hand Bat,Bowler,Legbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321329.png"
Katlo Piet,Botswana,Left hand Bat,,Slow Left arm Orthodox,,
Joshua Asia,Nigeria,Right hand Bat,,Right arm Offbreak,,
Abbas Ghani,Hungary,Right hand Bat,,Right arm Medium,,
Devon Conway,New Zealand,Left hand Bat,Wicketkeeper Batter,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321214.png"
Aleksa Djorovic,Serbia,Right hand Bat,,Left arm Wrist spin,,
Ketut Artawan,Indonesia,Right hand Bat,,,,
Prosper Useni,Nigeria,Left hand Bat,,Left arm Medium,,
Robert Mitchell,Philippines,,,,,
Bjorn Fortuin,South Africa,Right hand Bat,Bowler,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322461.png"
Alex Carthew(c),Chile,Right hand Bat,,Right arm Offbreak,,
Henry Shipley,New Zealand,Right hand Bat,Bowler,Right arm Medium fast,,
Fitri Sham,Malaysia,Left hand Bat,,Slow Left arm Orthodox,,
Kendel KadowakiFleming(c),Japan,Left hand Bat,Batter,Right arm Offbreak,,
Samal Udawaththa,United Arab Emirates,Left hand Bat,Middle order Batter,Legbreak,,
Mark Bacarese,Gibraltar,Right hand Bat,,Right arm Offbreak,,
Niraj Khanna,Malta,Right hand Bat,,Right arm Offbreak,,
Tarun Sandeep,Eswatini,,,,,
Vraj Patel,Kenya,Left hand Bat,Bowler,Slow Left arm Orthodox,,
Anoop Orsu,Luxembourg,Right hand Bat,,Right arm Medium,,
Joost Mees(c) ,Luxembourg,Right hand Bat,,,,
Josh Butler(c),Guernsey,Right hand Bat,,Right arm Medium,,
Ashmit Shreshta ,Nigeria,Right hand Bat,,,,
Ivan Splicevic ,Croatia,Right hand Bat,,,,
Luke Thomas Bichard,Guernsey,Right hand Bat,,Right arm Medium fast,,
Riazat Ali Shah,Uganda,Right hand Bat,,Right arm Medium,,
NaveenulHaq,Afghanistan,Right hand Bat,Bowler,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320502.png"
Chernoh Bah,Sierra Leone,Right hand Bat,,Right arm Medium,,
Jeremy Gordon,Canada,Right hand Bat,Bowler,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321273.png"
Brian Masaba,Uganda,Right hand Bat,Bowler,"Right arm Fast medium, Legbreak Googly",,
Sandeep Mohandas,Hungary,Right hand Bat,,Right arm Medium fast,,
Daryl Mitchell,New Zealand,Right hand Bat,Batting Allrounder,Right arm Medium,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, too, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. He had made his international debut against India in a T20I in February of that year.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321212.png"
Arashdeep Samra,Philippines,Left hand Bat,,Slow Left arm Orthodox,,
Rahul Ahir,Panama,Right hand Bat,,Right arm Medium,,
Muhammet Bicer,Turkey,Right hand Bat,,Right arm Medium,,
Sahir Naqash,Germany,Right hand Bat,,Right arm Medium,,
Nasrulla Rana,Hong Kong,Right hand Bat,Bowling Allrounder,Right arm Medium fast,,
Haider Ali,Pakistan,Right hand Bat,Middle order Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322204.png"
Nick Welch,Zimbabwe,Right hand Bat,Opening Batter,Legbreak Googly,"Harare-born Nick Welch made his first-class debut for Mashonaland Eagles in 2013-14, and after a string of second XI appearances for various counties in 2017 and 2018, including Sussex, Surrey, Northamptonshire and Leicestershire, and a stint at Loughborough MCCU in 2019, he made his first-team county debut in Leicestershire's run to the quarter-finals of the T20 Blast in 2020. He made five more appearances for the county in the 2022 Blast, as well as two in the Championship.",
Romeo Dunka,Cayman Islands,Left hand Bat,,Left arm Medium,,
Neil Rock,Ireland,Left hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339165.png"
Rahat Ali,Czech Republic,Right hand Bat,,Right arm Medium,,
Nasum Ahmed,Bangladesh,Left hand Bat,Bowler,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323176.png"
Alusine Turay,Sierra Leone,Right hand Bat,,Legbreak,,
Wasal Bitis,Croatia,Right hand Bat,,Right arm Medium fast,,
Abdullah Mahmood,Denmark,Right hand Bat,,Right arm Offbreak,,
Amit Halbhavi,Luxembourg,Right hand Bat,,,,
Andy Balbirnie(c),Ireland,Right hand Bat,Batter,Right arm Offbreak,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316637.png"
Aqib Ilyas(c),Oman,Right hand Bat,Top order Batter,"Right arm Offbreak, Legbreak Googly",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321767.png"
Boemo Kgosiemang,Botswana,Right hand Bat,,Right arm Fast,,
Blessing Muzarabani,Zimbabwe,Right hand Bat,Bowler,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321400/321471.png"
Naseem Khan,Croatia,Right hand Bat,,Right arm Medium fast,,
Mitchell Santner,New Zealand,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319792.png"
Kulwinderjeet Singh,Philippines,Right hand Bat,,Right arm Medium,,
Vukasin Zimonjic,Serbia,Right hand Bat,Bowler,Right arm Medium fast,,
Vriitya Aravind ,United Arab Emirates,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354964.png"
Jay Ahir,Panama,Right hand Bat,,Right arm Offbreak,,
Henry Ssenyondo,Uganda,Right hand Bat,,Slow Left arm Orthodox,,
Lucas Oluoch(c),Kenya,Right hand Bat,Bowler,Left arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321375.png"
Ali Raza,Belgium,Right hand Bat,,,,
Romeo Nath,Turkey,Right hand Bat,,,,
Lautaro Musiani,Argentina,Right hand Bat,,Legbreak,,
Julius Sumerauer,Jersey,Right hand Bat,,Right arm Fast medium,,
Ishan Kishan ,India,Left hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331165.png"
Nikhil Dutta,Canada,Right hand Bat,Bowler,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321281.png"
Sam Curran,England,Left hand Bat,Allrounder,Left arm Medium fast,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323113.png"
Chamika Karunaratne,Sri Lanka,Right hand Bat,Bowling Allrounder,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329900/329937.png"
Abdul Naser Baluch,Sweden,Right hand Bat,,Left arm Medium,,
Kayron J Stagno(c) ,Gibraltar,Right hand Bat,,Right arm Offbreak,,
Saud Munir,Denmark,Right hand Bat,,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/373900/373918.png"
Muhammad Murad,Qatar,Left hand Bat,,Left arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380400/380452.png"
Norman Vanua,Papua New Guinea,Right hand Bat,Bowler,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321154.png"
Hassan Rasheed(c) ,Maldives,Right hand Bat,,,,
Nuwanidu Fernando,Sri Lanka,Right hand Bat,Batter,Right arm Offbreak,,
Himanshu Rathod,Qatar,Right hand Bat,,Right arm Offbreak,,
Aaron Johnson,Canada,Right hand Bat,Batter,Right arm Offbreak,,
Wilson Niyitanga,Rwanda,Right hand Bat,,,,
Saran Aslam,Denmark,Right hand Bat,,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/373900/373915.png"
Josh Lawrenson,Jersey,Right hand Bat,,Right arm Offbreak,,
Amjad Mahboob,Singapore,Right hand Bat,Bowler,Right arm Medium,,
Azin Rafeeg,Maldives,Right hand Bat,,Right arm Medium fast,,
Muhammet Kursat,Turkey,Right hand Bat,,Right arm Medium,,
Murid Ekrami,Belgium,Left hand Bat,,Slow Left arm Orthodox,,
Mohammad Haris,Pakistan,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,,
Imal Zuwak,Sweden,Right hand Bat,,Right arm Medium fast,,
Wayne Madsen,Italy,Right hand Bat,Batter,Right arm Offbreak,"Wayne Madsen's reputation blossomed in 2013 with the greater attention given to Derbyshire following their promotion to Division One of the Championship. Derbyshire were relegated immediately but their captain, Madsen, proved a formidable opponent, scoring 1221 Championship runs and being the first player to reach 1000 runs in Division One. He was named as Championship Cricketer of the Year by the Cricket Writers' Club.",
Zahir Mohammed,Hungary,Right hand Bat,,Right arm Medium,,
Abdoulaye Aminou,Cameroon,Right hand Bat,,,,
Abinash Bohara,Nepal,Right hand Bat,Bowler,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321400/321434.png"
Rod Mbaiwa,Botswana,Right hand Bat,,,,
Shahzeb Choudhry,Sweden,,,,,
Eshan Karimi,Denmark,Right hand Bat,,Slow Left arm Orthodox,,
Blair Tickner,New Zealand,Right hand Bat,Bowler,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329800/329888.png"
Zaman Khan,Pakistan,Right hand Bat,Bowler,Right arm Fast,,
Riaz Afridi,Czech Republic,Right hand Bat,,Right arm Medium,,
Simon Ssesazi ,Uganda,Left hand Bat,,Right arm Slow,,
Ali Nayyer,Switzerland,,Bowler,,,
Hern Isorena,Philippines,Right hand Bat,,,,
Abdullah Jasat,Panama,Right hand Bat,,Left arm Medium,,
Matthew Wade(c) ,Australia,Left hand Bat,Wicketkeeper Batter,Right arm Medium,"It has been a career of reinvention for Matthew Wade, who went from Test wicketkeeper to specialist middle-order batter to T20I World Cup-winning wicketkeeper-finisher, via a prolific run in domestic cricket when it appeared his international days were over.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316594.png"
Henry Tyler,Philippines,Right hand Bat,,,,
Thatayaone Tshose,Botswana,Right hand Bat,Batting Allrounder,Right arm Medium,,
Losika Makgale,Botswana,Right hand Bat,,Right arm Medium,,
Pero Bosnjak,Croatia,Right hand Bat,,Right arm Bowler,,
Mohamed Miuvaan,Maldives,Right hand Bat,,Right arm Medium fast,,
Anish Prasad,Cambodia,Right hand Bat,,Right arm Medium,,
Haris Rauf,Pakistan,Right hand Bat,Bowler,Right arm Fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322202.png"
Mohit Dixit,Luxembourg,Right hand Bat,,Left arm Medium fast,,
Rakep Patel,Kenya,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,"One of Kenyan cricket's clutch of promising youngsters, Rakep Patel is an aggressive right-handed batsman and occasional offspinner. Patel's first outing for Kenya came on his first-class debut, aged 17, for Kenya Select XI against Westerns in Zimbabwe's Logan Cup competition. Patel started his career in the lower middle order, but has since moved up the order and his best ODI performance to date came as an opener when he cracked 92 to help seal a six-wicket win over Netherlands in Nairobi in February 2010. He had to pull out of Kenya's squad for their Intercontinental Cup game against Canada in August 2009 when his father passed away, and captain Maurice Ouma dedicated the victory in that game ""to my team-mate's dad"". Unafraid to play his shots when the situation warrants, Patel smashed 71 from just 29 balls, including eight sixes, in a 50-over match against Uganda in December 2009. But he is also developing as a batsman in the longer forms of the game, and his 87 helped Kenya chase down a target of 320 in their second innings in an Intercontinental Cup game against Netherlands in February 2010. As Kenya look to rebuild after a turbulent period and re-assert their status as the leading Associate nation, Patel could be an important part of their plans.
Liam Brickhill    ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321385.png"
Asad Mahmood,Switzerland,Right hand Bat,,Right arm Offbreak,,
Rezza Gaznavi(c),Singapore,Right hand Bat,Batter,Legbreak,,
Namsrai Batyalalt,Mongolia,Right hand Bat,,,,
Carl Mumba,Zimbabwe,Right hand Bat,Allrounder,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/326500/326526.png"
Josef Doctora,Philippines,Right hand Bat,,Right arm Offbreak,,
Antonio Faletar,Croatia,Right hand Bat,,Right arm Medium,,
Kelvin Awala,Ghana,Right hand Bat,Allrounder,Right arm Offbreak,,
Kyle Jamieson,New Zealand,Right hand Bat,Bowler,Right arm Fast medium,"The first thing that strikes you about Kyle Jamieson is his height. At 6'8"", he is one of the tallest fast bowlers in the circuit. And like most people who send a cricket ball down from such awkward heights, he is known for getting awkward bounce. So much so that batsmen forget that he has a phenomenal fuller delivery. Especially when it starts to hoop in at the stumps. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321236.png"
Aaron Hardie,Australia,Right hand Bat,Allrounder,Right arm Medium fast,Aaron Hardie is a tall seam bowling allrounder from Western Australia who has had a slower development than his state teammate Cameron Green but is emerging as an international player and a future leader. He is a technically correct but powerful batter with the ability to bat in the top order in T20 cricket and middle order in first-class cricket. He can also bowl with the new ball in first-class cricket and swing it prodigiously.  ,
Alessandro Morris,Cayman Islands,Right hand Bat,,Right arm Offbreak,,
Naveed Ahmed,Czech Republic,Right hand Bat,,Right arm Offbreak,,
Rohit Paudel,Nepal,Right hand Bat,Batting Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330466.png"
Reginald Nehonde,Botswana,Right hand Bat,,Right arm Offbreak,"Reginald Nehonde is a right-hand batsman and offspinner who is part of the Zimbabwe squad to the 2008 Under-19 World Cup in Malaysia. He started playing the game at the age of 11, and has played for Zimbabwe U-14s and U-16s. A fan of Ricky Ponting, he is also interested in becoming a sociologist. 
Cricinfo Staff February 2008
",
Jatinder Singh,Oman,Right hand Bat,Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321771.png"
Varun Thamotharam(c),Malta,Left hand Bat,,Left arm Medium fast,,
Daniel Jakiel,Malawi,Right hand Bat,,Right arm Fast medium,,
Sami Rahmani,Sweden,Right hand Bat,,Right arm Medium,,
Piyush Kumbhare,Japan,Right hand Bat,,Slow Left arm Orthodox,,
Ahmer Bin Nasir,Bahrain,Right hand Bat,,,,
Avinash Pai(c),Gibraltar,Right hand Bat,,Right arm Offbreak,,
Rovman Powell,West Indies,Right hand Bat,Middle order Batter,Right arm Medium fast,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322172.png"
Imran Ali ,Bahrain,Left hand Bat,Wicketkeeper Batter,,,
Muhammad Muneeb,Belgium,Left hand Bat,,Right arm Offbreak,,
Shamim Hossain,Bangladesh,Left hand Bat,Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329712.png"
Mecit Ozturk,Turkey,Right hand Bat,,Right arm Medium,,
Kabua Morea,Papua New Guinea,Right hand Bat,Bowler,Left arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329753.png"
Julien Abega(c),Cameroon,Right hand Bat,,Right arm Medium,,
Ali Turkmen,Turkey,Right hand Bat,,Right arm Medium,,
Ayush Shukla,Hong Kong,Right hand Bat,Bowler,Right arm Medium,,
Hazratullah Zazai,Afghanistan,Left hand Bat,Opening Batter,Slow Left arm Orthodox,Afghanistan's ascent up the global rankings from ICC Associate nation to Full Member and Test status has been largely propelled by a conveyor belt of fast bowling and mystery spin. But the country has struggled to unearth quality batting prospects at the same rate as their bowling unit. The emergence of the hard-hitting Hazratullah Zazai is a sign that this may change early in the country's Full Member era.,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320497.png"
Pero Bosnjak ,Croatia,Right hand Bat,,Right arm Bowler,,
Moazzam Baig,Malawi,Right hand Bat,,Right arm Offbreak,,
Yadwinder Singh,Hungary,Right hand Bat,,Right arm Medium,,
Sulaimon Runsewe,Nigeria,Right hand Bat,,Right arm Offbreak,,
Gede Arta,Indonesia,Left hand Bat,,Left arm Medium fast,,
Aaftab Limdawala,Malawi,Left hand Bat,,,,
Simon Ssesazi,Uganda,Left hand Bat,,Right arm Slow,,
Sahan Arachchige(c),Sri Lanka,Left hand Bat,Batting Allrounder,Right arm Offbreak,,
Simo Ivetic,Serbia,Right hand Bat,,Right arm Medium fast,,
Sohel Patel,Panama,Right hand Bat,,Right arm Medium,,
Daniel Smith(c),Philippines,Right hand Bat,,Right arm Medium fast,,
John Bangura ,Sierra Leone,Right hand Bat,,Right arm Offbreak,,
